EmployeeNumber,Business_UNIT,Gender,JobLevel,JobRole,Department,Age,Hire_Year,Attrition_YEAR,Attrition,Year Last Promoted,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,PerformanceRating,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Year Last Promoted_ORIG,YearsWithCurrManager
20,BU1,Female,3,Associate Director,Research & Development,29,2008,,No,2011,9980,51,1389,10195,11,3,Travel_Rarely,21,4,Life Sciences,1,2,4,1,Divorced,1,Y,No,3,80,1,10,1,3,10,9,8,2008,8
21,BU1,Male,1,Data Scientist,Research & Development,32,2012,,No,,3298,80,334,15053,12,3,Travel_Rarely,5,2,Life Sciences,1,1,4,2,Divorced,0,Y,Yes,4,80,2,7,5,2,6,2,0,,5
22,BU1,Male,1,Associate,Research & Development,22,2017,,No,,2935,96,1123,7324,13,3,Non-Travel,16,2,Medical,1,4,4,4,Divorced,1,Y,Yes,2,80,2,1,2,2,1,0,0,,0
23,BU1,Female,4,Manager,Sales,53,1993,,No,2016,15427,78,1219,22021,16,3,Travel_Rarely,2,4,Life Sciences,1,1,2,4,Married,2,Y,No,3,80,0,31,3,3,25,8,3,2003,7
24,BU1,Male,1,Data Scientist,Research & Development,38,2015,,No,2018,3944,45,371,4306,11,3,Travel_Rarely,2,3,Life Sciences,1,4,3,4,Single,5,Y,Yes,3,80,0,6,3,3,3,2,1,2008,2
26,BU1,Female,2,Associate Director,Research & Development,24,2014,,No,2018,4011,96,673,8232,18,3,Non-Travel,11,2,Other,1,1,4,3,Divorced,0,Y,No,4,80,1,5,5,2,4,2,1,2001,3
27,BU1,Male,1,Sales Representative,Sales,36,2013,2016,Yes,,3407,82,1218,6986,23,4,Travel_Rarely,9,4,Life Sciences,1,3,2,1,Single,7,Y,No,2,80,0,10,4,3,5,3,0,,3
28,BU1,Female,3,Director,Research & Development,34,2006,,No,2017,11994,53,419,21293,11,3,Travel_Rarely,7,4,Life Sciences,1,1,3,2,Single,0,Y,No,3,80,0,13,4,3,12,6,2,2008,11
30,BU1,Male,1,Data Scientist,Research & Development,21,2018,,No,,1232,96,391,19281,14,3,Travel_Rarely,15,2,Life Sciences,1,3,3,4,Single,1,Y,No,4,80,0,0,6,3,0,0,0,,0
31,BU1,Male,1,Data Scientist,Research & Development,34,2014,2018,Yes,2018,2960,83,699,17102,11,3,Travel_Rarely,6,1,Medical,1,2,3,1,Single,2,Y,No,3,80,0,8,2,3,4,2,1,2008,3
32,BU1,Female,5,Manager,Research & Development,53,2004,,No,2015,19094,58,1282,10735,11,3,Travel_Rarely,5,3,Other,1,3,3,3,Divorced,4,Y,No,4,80,1,26,3,2,14,13,4,2008,8
33,BU1,Female,1,Data Scientist,Research & Development,32,2008,2017,Yes,2013,3919,72,1125,4681,22,4,Travel_Frequently,16,1,Life Sciences,1,2,1,1,Single,1,Y,Yes,2,80,0,10,5,3,10,2,6,1997,7
35,BU1,Male,2,Sales Executive,Sales,42,2009,,No,2015,6825,48,691,21173,11,3,Travel_Rarely,8,4,Marketing,1,3,3,2,Married,0,Y,No,4,80,1,10,2,3,9,7,4,2008,2
36,BU1,Female,3,Senior Associate,Research & Development,44,1996,,No,2014,10248,42,477,2094,14,3,Travel_Rarely,7,4,Medical,1,1,2,4,Married,3,Y,No,4,80,1,24,4,3,22,6,5,2005,17
38,BU1,Female,5,Manager,Sales,46,2016,,No,2017,18947,83,705,22822,12,3,Travel_Rarely,2,4,Marketing,1,2,3,1,Single,3,Y,No,4,80,0,22,2,2,2,2,2,2007,1
39,BU1,Male,1,Associate,Research & Development,33,2017,,No,,2496,78,924,6670,11,3,Travel_Rarely,2,3,Medical,1,3,3,4,Single,4,Y,No,4,80,0,7,3,3,1,1,0,,0
40,BU1,Male,2,Senior Associate,Research & Development,44,2014,,No,2018,6465,41,1459,19121,13,3,Travel_Rarely,10,4,Other,1,4,3,4,Married,2,Y,Yes,4,80,0,9,5,4,4,2,1,2006,3
41,BU1,Male,1,Associate,Research & Development,30,2008,,No,2018,2206,83,125,16117,13,3,Travel_Rarely,9,2,Medical,1,4,2,3,Single,1,Y,No,1,80,0,10,5,3,10,0,1,2006,8
42,BU1,Male,2,Sales Representative,Sales,39,2017,2016,Yes,,2086,56,895,3335,14,3,Travel_Rarely,5,3,Technical Degree,1,4,3,4,Married,3,Y,No,3,80,1,19,6,4,1,0,0,,0
45,BU1,Male,1,Data Scientist,Research & Development,24,2016,2015,Yes,2017,2293,61,813,3020,16,3,Travel_Rarely,1,3,Medical,1,2,3,4,Married,2,Y,Yes,1,80,1,6,2,2,2,0,2,2003,0
46,BU1,Female,1,Data Scientist,Research & Development,43,2013,,No,2018,2645,72,1273,21923,12,3,Travel_Rarely,2,2,Medical,1,4,4,3,Divorced,1,Y,No,4,80,2,6,3,2,5,3,1,2007,4
47,BU1,Male,1,Sales Representative,Sales,50,2015,2018,Yes,,2683,86,869,3810,14,3,Travel_Rarely,3,2,Marketing,1,1,2,3,Married,1,Y,Yes,3,80,0,3,2,3,3,2,0,,2
49,BU1,Female,1,Sales Representative,Sales,35,2016,,No,2017,2014,97,890,9687,13,3,Travel_Rarely,2,3,Marketing,1,4,3,4,Married,1,Y,No,1,80,0,2,3,3,2,2,2,2006,2
51,BU1,Female,1,Data Scientist,Research & Development,36,2017,,No,,3419,82,852,13072,14,3,Travel_Rarely,5,4,Life Sciences,1,2,2,1,Married,9,Y,Yes,4,80,1,6,3,4,1,1,0,,0
52,BU1,Female,2,Sales Executive,Sales,33,2013,,No,2018,5376,42,1141,3193,19,3,Travel_Frequently,1,3,Life Sciences,1,3,4,1,Married,2,Y,No,1,80,2,10,3,3,5,3,1,2000,3
53,BU1,Male,1,Associate,Research & Development,35,2017,,No,,1951,75,464,10910,12,3,Travel_Rarely,4,2,Other,1,3,3,4,Divorced,1,Y,No,3,80,1,1,3,3,1,0,0,,0
54,BU1,Female,1,Associate,Research & Development,27,2017,,No,,2341,33,1240,19715,13,3,Travel_Rarely,2,4,Life Sciences,1,4,3,1,Divorced,1,Y,No,4,80,1,1,6,3,1,0,0,,0
55,BU1,Male,1,Associate,Research & Development,26,2017,2017,Yes,,2293,48,1357,10558,12,3,Travel_Rarely,25,3,Life Sciences,1,1,1,3,Single,1,Y,No,3,80,0,1,2,2,1,0,0,,1
56,BU1,Male,3,Sales Executive,Sales,27,2009,,No,2018,8726,37,994,2975,15,3,Travel_Frequently,8,3,Life Sciences,1,4,3,3,Single,1,Y,No,4,80,0,9,0,3,9,8,1,2004,7
57,BU1,Female,2,Associate,Research & Development,30,2006,,No,2016,4011,58,721,10781,23,4,Travel_Frequently,1,2,Medical,1,3,3,4,Single,1,Y,No,4,80,0,12,2,3,12,8,3,1996,7
58,BU1,Female,5,Director,Research & Development,41,1996,2016,Yes,2004,19545,49,1360,16280,12,3,Travel_Rarely,12,3,Technical Degree,1,2,3,3,Married,1,Y,No,4,80,0,23,0,3,22,15,15,2007,8
60,BU1,Male,2,Sales Executive,Sales,34,2009,,No,2011,4568,72,1065,10034,20,4,Non-Travel,23,4,Marketing,1,2,3,3,Single,0,Y,No,3,80,0,10,2,3,9,5,8,1999,7
61,BU1,Male,1,Data Scientist,Research & Development,37,2017,,No,,3022,73,408,10227,21,4,Travel_Rarely,19,2,Life Sciences,1,2,3,2,Married,4,Y,No,1,80,0,8,1,3,1,0,0,,0
62,BU1,Male,2,Sales Executive,Sales,46,2009,,No,,5772,98,1211,20445,21,4,Travel_Frequently,5,4,Marketing,1,1,3,4,Single,4,Y,Yes,3,80,0,14,4,3,9,6,0,,8
63,BU1,Male,1,Associate,Research & Development,35,2017,,No,,2269,36,1229,4892,19,3,Travel_Rarely,8,1,Life Sciences,1,4,4,4,Married,1,Y,No,4,80,0,1,2,3,1,0,0,,1
64,BU1,Male,3,Associate,Research & Development,48,2017,2015,Yes,,5381,98,626,19294,13,3,Travel_Rarely,1,2,Life Sciences,1,1,2,3,Single,9,Y,Yes,4,80,0,23,2,3,1,0,0,,0
65,BU1,Male,1,Associate,Research & Development,28,2016,2018,Yes,2017,3441,50,1434,11179,13,3,Travel_Rarely,5,4,Technical Degree,1,3,3,3,Single,1,Y,Yes,3,80,0,2,3,2,2,2,2,2006,2
68,BU1,Female,2,Sales Executive,Sales,44,2014,,No,2018,5454,75,1488,4009,21,4,Travel_Rarely,1,5,Marketing,1,2,3,1,Divorced,5,Y,Yes,3,80,1,9,2,2,4,3,1,1998,3
70,BU1,Male,3,Senior Associate,Research & Development,35,2014,,No,2017,9884,79,1097,8302,13,3,Non-Travel,11,2,Medical,1,3,2,1,Married,2,Y,Yes,3,80,1,10,3,3,4,0,2,2006,3
72,BU1,Female,2,Sales Executive,Sales,26,2016,,No,,4157,47,1443,21436,19,3,Travel_Rarely,23,3,Marketing,1,3,2,4,Married,7,Y,Yes,3,80,1,5,2,2,2,2,0,,0
73,BU1,Female,3,Director,Research & Development,33,2003,,No,2011,13458,98,515,15146,12,3,Travel_Frequently,1,2,Life Sciences,1,1,3,4,Single,1,Y,Yes,3,80,0,15,1,3,15,14,8,2007,12
74,BU1,Male,3,Sales Executive,Sales,35,2009,,No,2018,9069,71,853,11031,22,4,Travel_Frequently,18,5,Life Sciences,1,2,3,1,Married,1,Y,No,4,80,1,9,3,2,9,8,1,1997,8
75,BU1,Female,1,Associate,Research & Development,35,2016,,No,2017,4014,30,1142,16002,15,3,Travel_Rarely,23,4,Medical,1,3,3,1,Married,3,Y,Yes,3,80,1,4,3,3,2,2,2,2004,2
76,BU1,Male,2,Associate,Research & Development,31,2011,,No,2018,5915,48,655,9528,22,4,Travel_Rarely,7,4,Life Sciences,1,4,3,4,Divorced,3,Y,No,4,80,1,10,3,2,7,7,1,1997,7
77,BU1,Male,2,Associate Director,Research & Development,37,2011,,No,,5993,51,1115,2689,18,3,Travel_Rarely,1,4,Life Sciences,1,1,2,3,Divorced,1,Y,No,3,80,1,7,2,4,7,5,0,,7
78,BU1,Male,2,Associate Director,Research & Development,32,2009,,No,2012,6162,33,427,10877,22,4,Travel_Rarely,1,3,Medical,1,1,3,4,Married,1,Y,Yes,2,80,1,9,3,3,9,8,7,1997,8
79,BU1,Female,2,Associate,Research & Development,38,2008,,No,2010,2406,50,653,5456,11,3,Travel_Frequently,29,5,Life Sciences,1,4,3,4,Single,1,Y,No,4,80,0,10,2,3,10,3,9,2008,9
80,BU1,Female,5,Director,Research & Development,50,1991,,No,2006,18740,43,989,16701,12,3,Travel_Rarely,7,2,Medical,1,2,2,3,Divorced,5,Y,Yes,4,80,1,29,2,2,27,3,13,2007,8
81,BU1,Female,3,Sales Executive,Sales,59,1997,,No,2012,7637,99,1435,2354,11,3,Travel_Rarely,25,3,Life Sciences,1,1,3,1,Single,7,Y,No,4,80,0,28,3,2,21,16,7,2008,9
83,BU1,Female,3,Senior Associate,Research & Development,36,2001,,No,2007,10096,59,1223,8202,13,3,Travel_Rarely,8,3,Technical Degree,1,3,3,3,Divorced,1,Y,No,2,80,3,17,2,3,17,14,12,2006,8
84,BU1,Female,4,Manager,Research & Development,55,2013,,No,,14756,33,836,19730,14,3,Travel_Rarely,8,3,Medical,1,4,3,3,Divorced,2,Y,Yes,3,80,3,21,2,3,5,0,0,,2
85,BU1,Male,2,Associate Director,Research & Development,36,2012,,No,,6499,95,1195,22656,13,3,Travel_Frequently,11,3,Life Sciences,1,2,2,2,Single,1,Y,No,3,80,0,6,3,3,6,5,0,,3
86,BU1,Male,3,Data Scientist,Research & Development,45,2017,,No,,9724,59,1339,18787,17,3,Travel_Rarely,7,3,Life Sciences,1,2,3,1,Divorced,2,Y,No,3,80,1,25,2,3,1,0,0,,0
88,BU1,Male,1,Data Scientist,Research & Development,35,2015,,No,2018,2194,79,664,5868,13,3,Travel_Frequently,1,3,Medical,1,2,3,1,Married,4,Y,No,4,80,1,5,2,2,3,2,1,2006,2
90,BU1,Male,1,Data Scientist,Research & Development,36,2017,2017,Yes,,3388,79,318,21777,17,3,Travel_Rarely,9,3,Medical,1,4,2,3,Married,0,Y,Yes,1,80,1,2,0,2,1,0,0,,0
91,BU1,Female,2,Sales Executive,Sales,59,2014,,No,2018,5473,57,1225,24668,11,3,Travel_Frequently,1,1,Life Sciences,1,1,2,3,Single,7,Y,No,4,80,0,20,2,2,4,3,1,2008,3
94,BU1,Male,1,Data Scientist,Research & Development,29,2013,,No,,2703,76,1328,4956,23,4,Travel_Rarely,2,3,Life Sciences,1,3,3,2,Married,0,Y,No,4,80,1,6,3,3,5,4,0,,4
95,BU1,Male,1,Data Scientist,Research & Development,31,2017,,No,2018,2501,87,1082,18775,17,3,Travel_Rarely,1,4,Medical,1,3,3,2,Single,1,Y,No,2,80,0,1,4,3,1,1,1,2002,0
96,BU1,Male,2,Data Scientist,Research & Development,32,2008,,No,,6220,66,548,7346,17,3,Travel_Rarely,1,3,Life Sciences,1,2,3,2,Married,1,Y,No,2,80,2,10,3,3,10,4,0,,9
97,BU1,Female,1,Associate,Research & Development,36,2017,,No,,3038,55,132,22002,12,3,Travel_Rarely,6,3,Life Sciences,1,2,4,4,Married,3,Y,No,2,80,0,5,3,3,1,0,0,,0
98,BU1,Female,2,Associate Director,Research & Development,31,2007,,No,2018,4424,61,746,20682,23,4,Travel_Rarely,8,4,Life Sciences,1,3,3,4,Single,1,Y,No,4,80,0,11,2,3,11,7,1,1996,8
100,BU1,Male,2,Sales Executive,Sales,35,2003,,No,2017,4312,32,776,23016,14,3,Travel_Rarely,1,4,Marketing,1,3,2,1,Single,0,Y,No,2,80,0,16,2,3,15,13,2,2005,8
101,BU1,Male,3,Director,Research & Development,45,2018,,No,,13245,52,193,15067,14,3,Travel_Rarely,6,4,Other,1,4,3,1,Married,4,Y,Yes,2,80,0,17,3,4,0,0,0,,0
102,BU1,Male,3,Director,Research & Development,37,2013,,No,,13664,30,397,25258,13,3,Travel_Rarely,7,4,Medical,1,1,3,3,Single,4,Y,No,1,80,0,16,3,4,5,2,0,,2
103,BU1,Male,2,Human Resources,Human Resources,46,2014,,No,,5021,80,945,10425,22,4,Travel_Rarely,5,2,Medical,1,2,3,2,Divorced,8,Y,Yes,4,80,1,16,2,3,4,2,0,,2
104,BU1,Male,2,Associate,Research & Development,30,2008,,No,2016,5126,55,852,15998,12,3,Travel_Rarely,1,1,Life Sciences,1,4,2,4,Married,1,Y,Yes,3,80,2,10,1,2,10,8,3,2007,0
105,BU1,Male,1,Data Scientist,Research & Development,35,2012,,No,,2859,30,1214,26278,18,3,Travel_Rarely,1,3,Medical,1,2,2,3,Single,1,Y,No,1,80,0,6,3,3,6,4,0,,4
106,BU1,Male,3,Sales Executive,Sales,55,2017,,No,2018,10239,70,111,18092,14,3,Travel_Rarely,1,2,Life Sciences,1,1,3,4,Married,3,Y,No,4,80,1,24,4,3,1,0,1,2005,0
107,BU1,Female,2,Data Scientist,Research & Development,38,2005,,No,2018,5329,79,573,15717,12,3,Non-Travel,6,3,Medical,1,2,1,4,Divorced,7,Y,Yes,4,80,3,17,3,3,13,11,1,2007,9
110,BU1,Male,2,Associate Director,Research & Development,34,2013,,No,2018,4325,94,1153,17736,15,3,Travel_Rarely,1,2,Medical,1,1,3,2,Married,1,Y,No,3,80,0,5,2,3,5,2,1,2004,3
112,BU1,Male,3,Associate Director,Research & Development,56,2012,,No,,7260,49,1400,21698,11,3,Travel_Rarely,7,3,Life Sciences,1,4,1,4,Single,4,Y,No,1,80,0,37,3,2,6,4,0,,2
113,BU1,Male,1,Sales Representative,Sales,23,2018,,No,,2322,62,541,9518,13,3,Travel_Rarely,2,1,Technical Degree,1,3,3,1,Divorced,3,Y,No,3,80,1,3,3,3,0,0,0,,0
116,BU1,Male,1,Associate,Research & Development,51,2014,,No,,2075,96,432,18725,23,4,Travel_Rarely,9,4,Life Sciences,1,4,3,4,Married,3,Y,No,2,80,2,10,4,3,4,2,0,,3
117,BU1,Male,2,Senior Associate,Research & Development,30,2007,,No,2009,4152,99,288,15830,19,3,Travel_Rarely,2,3,Life Sciences,1,3,2,4,Married,1,Y,No,1,80,3,11,3,3,11,10,10,2000,8
118,BU1,Male,3,Sales Executive,Sales,46,2009,2016,Yes,2015,9619,64,669,13596,16,3,Travel_Rarely,9,2,Medical,1,3,2,4,Single,1,Y,No,4,80,0,9,3,3,9,8,4,2003,7
119,BU1,Male,4,Senior Associate,Research & Development,40,1996,,No,2008,13503,78,530,14115,22,4,Travel_Frequently,1,4,Life Sciences,1,3,2,2,Married,1,Y,No,4,80,1,22,3,2,22,3,11,1997,11
120,BU1,Male,2,Sales Executive,Sales,51,2008,,No,2018,5441,71,632,8423,22,4,Travel_Rarely,21,4,Marketing,1,3,3,4,Single,0,Y,Yes,4,80,0,11,2,1,10,7,1,1997,0
121,BU1,Female,2,Sales Executive,Sales,30,2007,,No,2017,5209,63,1334,19760,12,3,Travel_Rarely,4,2,Medical,1,3,2,2,Divorced,1,Y,Yes,2,80,3,11,4,2,11,8,2,2007,7
124,BU1,Male,3,Senior Associate,Research & Development,46,2008,,No,2010,10673,40,638,3142,13,3,Travel_Frequently,1,3,Medical,1,3,2,1,Married,2,Y,Yes,3,80,1,21,5,2,10,9,9,2006,5
125,BU1,Male,2,Sales Executive,Sales,32,2007,,No,2014,5010,87,1093,24301,16,3,Travel_Rarely,6,4,Medical,1,2,3,3,Single,1,Y,No,1,80,0,12,0,3,11,8,5,2003,7
126,BU1,Female,3,Director,Research & Development,54,2014,,No,,13549,60,1217,24001,12,3,Travel_Rarely,2,4,Technical Degree,1,1,3,3,Married,9,Y,No,1,80,1,16,5,1,4,3,0,,3
128,BU1,Female,2,Sales Executive,Sales,24,2015,,No,,4999,33,1353,17519,21,4,Travel_Rarely,3,2,Other,1,1,3,3,Married,0,Y,No,1,80,1,4,2,2,3,2,0,,2
129,BU1,Male,2,Sales Executive,Sales,28,2013,,No,,4221,43,120,8863,15,3,Non-Travel,4,3,Medical,1,2,3,3,Married,1,Y,No,2,80,0,5,3,4,5,4,0,,4
131,BU1,Male,4,Sales Executive,Sales,58,1981,,No,2018,13872,37,682,24409,13,3,Travel_Rarely,10,4,Medical,1,4,3,3,Single,0,Y,No,3,80,0,38,1,2,37,10,1,2006,8
132,BU1,Male,2,Associate,Research & Development,44,2015,,No,2018,2042,67,489,25043,12,3,Non-Travel,23,3,Medical,1,2,3,2,Married,4,Y,No,3,80,1,17,3,4,3,2,1,2007,2
133,BU1,Male,1,Human Resources,Human Resources,37,2015,2015,Yes,,2073,63,807,23648,22,4,Travel_Rarely,6,4,Human Resources,1,3,3,1,Divorced,4,Y,Yes,4,80,0,7,3,3,3,2,0,,2
134,BU1,Male,1,Data Scientist,Research & Development,32,2017,,No,,2956,71,827,15178,13,3,Travel_Rarely,1,1,Life Sciences,1,4,3,1,Single,1,Y,No,4,80,0,1,2,3,1,0,0,,0
137,BU1,Female,1,Associate,Research & Development,20,2017,2018,Yes,2018,2926,66,871,19783,18,3,Travel_Frequently,6,3,Life Sciences,1,4,2,4,Single,1,Y,Yes,2,80,0,1,5,3,1,0,1,2001,0
138,BU1,Female,2,Data Scientist,Research & Development,34,2002,,No,2017,4809,41,665,12482,14,3,Travel_Rarely,6,4,Other,1,1,3,3,Single,1,Y,No,3,80,0,16,3,3,16,13,2,2005,10
139,BU1,Male,2,Senior Associate,Research & Development,37,2017,,No,,5163,100,1040,15850,14,3,Non-Travel,2,2,Life Sciences,1,3,2,4,Divorced,5,Y,No,4,80,1,17,2,4,1,0,0,,0
140,BU1,Female,5,Manager,Human Resources,59,2015,,No,2017,18844,32,1420,21922,21,4,Non-Travel,2,4,Human Resources,1,3,2,4,Married,9,Y,No,4,80,1,30,3,3,3,2,2,1998,2
141,BU1,Female,5,Director,Research & Development,50,2010,,No,,18172,73,1115,9755,19,3,Travel_Frequently,1,3,Life Sciences,1,1,3,2,Married,3,Y,Yes,1,80,0,28,1,2,8,3,0,,7
142,BU1,Male,2,Sales Executive,Sales,25,2012,2017,Yes,,5744,46,240,26959,11,3,Travel_Rarely,5,3,Marketing,1,3,2,3,Single,1,Y,Yes,4,80,0,6,1,3,6,4,0,,3
143,BU1,Male,1,Data Scientist,Research & Development,25,2016,,No,2017,2889,64,1280,26897,11,3,Travel_Rarely,7,1,Medical,1,4,2,4,Married,1,Y,No,3,80,2,2,2,3,2,2,2,2008,1
144,BU1,Female,1,Associate,Research & Development,22,2018,,No,,2871,59,534,23785,15,3,Travel_Rarely,15,3,Medical,1,2,3,4,Single,1,Y,No,3,80,0,1,5,3,0,0,0,,0
145,BU1,Female,3,Senior Associate,Research & Development,51,2005,,No,2007,7484,30,1456,25796,20,4,Travel_Frequently,1,4,Medical,1,1,2,1,Single,3,Y,No,3,80,0,23,1,2,13,12,12,1999,8
147,BU1,Male,2,Associate,Research & Development,34,2009,2016,Yes,,6074,66,658,22887,24,4,Travel_Frequently,7,3,Life Sciences,1,1,1,3,Single,1,Y,Yes,4,80,0,9,3,3,9,7,0,,6
148,BU1,Female,4,Manager,Human Resources,54,2013,,No,2015,17328,30,142,13871,12,3,Non-Travel,26,3,Human Resources,1,4,4,4,Single,2,Y,Yes,3,80,0,23,3,3,5,3,4,2007,4
150,BU1,Male,1,Associate,Research & Development,24,2013,,No,2018,2774,52,1127,13257,12,3,Travel_Rarely,18,1,Life Sciences,1,2,3,3,Married,0,Y,No,3,80,1,6,2,3,5,3,1,2007,2
151,BU1,Female,2,Data Scientist,Research & Development,34,2017,,No,,4505,45,1031,15000,15,3,Travel_Rarely,6,4,Life Sciences,1,3,2,2,Divorced,6,Y,No,3,80,1,12,3,3,1,0,0,,0
152,BU1,Male,3,Sales Executive,Sales,37,2013,,No,2018,7428,87,1189,14506,12,3,Travel_Rarely,3,3,Life Sciences,1,3,3,4,Single,2,Y,No,1,80,0,12,3,3,5,3,1,2007,3
153,BU1,Female,3,Manager,Research & Development,34,2007,,No,2014,11631,45,1354,5615,12,3,Travel_Rarely,5,3,Medical,1,3,2,1,Single,2,Y,No,4,80,0,14,6,3,11,10,5,2007,8
154,BU1,Female,3,Sales Executive,Sales,36,2009,,No,2017,9738,92,1467,22952,14,3,Travel_Frequently,11,2,Technical Degree,1,2,3,4,Married,0,Y,No,3,80,1,10,6,3,9,7,2,2005,8
155,BU1,Female,1,Associate,Research & Development,36,2017,,No,,2835,39,922,2561,22,4,Travel_Rarely,3,2,Life Sciences,1,1,3,4,Divorced,5,Y,No,1,80,1,7,2,3,1,0,0,,0
158,BU1,Male,4,Manager,Sales,43,1993,,No,2015,16959,92,394,19494,12,3,Travel_Frequently,26,2,Life Sciences,1,3,3,4,Married,1,Y,Yes,4,80,2,25,3,4,25,12,4,2007,12
159,BU1,Male,1,Data Scientist,Research & Development,30,2008,,No,,2613,96,1312,22310,25,4,Travel_Frequently,23,3,Life Sciences,1,1,1,3,Divorced,1,Y,No,3,80,3,10,2,2,10,7,0,,9
160,BU1,Male,2,Sales Executive,Sales,33,2011,,No,,6146,95,750,15480,13,3,Non-Travel,22,2,Marketing,1,3,3,2,Married,0,Y,No,1,80,1,8,2,4,7,7,0,,7
161,BU1,Female,1,Data Scientist,Research & Development,56,2013,2015,Yes,2015,4963,72,441,4510,18,3,Travel_Rarely,14,4,Life Sciences,1,2,3,2,Married,9,Y,Yes,1,80,3,7,2,3,5,4,4,2001,3
162,BU1,Male,5,Director,Research & Development,51,1998,,No,2004,19537,51,684,6462,13,3,Travel_Rarely,6,3,Life Sciences,1,1,3,3,Single,7,Y,No,3,80,0,23,5,3,20,18,15,2006,15
